order_id,customer_region,product_id,supplier_id,warehouse_id,order_date,order_quantity,order_value_eur,priority,order_status
ORD-000001,DE-East,PRD-0078,SUP-008,WH-001,2025-03-02,82,9776.86,standard,fulfilled
ORD-000002,DE-South,PRD-0051,SUP-011,WH-002,2025-08-29,69,22934.22,standard,fulfilled
ORD-000003,DE-Central,PRD-0008,SUP-016,WH-002,2025-06-28,457,27799.31,standard,fulfilled
ORD-000004,DE-West,PRD-0073,SUP-008,WH-003,2025-10-03,252,56508.48,expedited,fulfilled
ORD-000005,DE-North,PRD-0055,SUP-009,WH-004,2025-07-28,85,15420.7,standard,fulfilled
ORD-000006,DE-East,PRD-0127,SUP-013,WH-002,2025-07-17,327,114400.95,expedited,fulfilled
ORD-000007,DE-South,PRD-0004,SUP-006,WH-008,2025-12-11,234,16787.16,standard,fulfilled
ORD-000008,DE-East,PRD-0051,SUP-011,WH-006,2025-07-26,113,37558.94,expedited,fulfilled
ORD-000009,DE-South,PRD-0171,SUP-010,WH-007,2025-02-25,130,46667.4,standard,fulfilled
ORD-000010,DE-East,PRD-0174,SUP-019,WH-006,2025-03-20,339,76515.69,standard,fulfilled
ORD-000011,DE-South,PRD-0067,SUP-022,WH-006,2025-10-04,26,5219.76,critical,fulfilled
ORD-000012,DE-East,PRD-0126,SUP-014,WH-007,2025-03-10,104,5864.56,standard,fulfilled
ORD-000013,DE-West,PRD-0015,SUP-016,WH-007,2025-05-26,12,1534.08,standard,fulfilled
ORD-000014,DE-East,PRD-0110,SUP-017,WH-006,2025-05-07,179,45047.14,standard,fulfilled
ORD-000015,DE-West,PRD-0006,SUP-008,WH-008,2025-10-29,172,18992.24,standard,fulfilled
ORD-000016,DE-Central,PRD-0077,SUP-018,WH-006,2025-08-12,345,129150.75,expedited,fulfilled
ORD-000017,DE-West,PRD-0160,SUP-014,WH-002,2025-10-24,739,79656.81,standard,fulfilled
ORD-000018,DE-East,PRD-0170,SUP-010,WH-006,2025-10-08,9,700.02,standard,fulfilled
ORD-000019,DE-East,PRD-0158,SUP-015,WH-007,2025-10-17,50,19492.0,standard,fulfilled
ORD-000020,DE-South,PRD-0017,SUP-004,WH-004,2025-07-31,156,13809.12,standard,fulfilled
ORD-000021,DE-East,PRD-0125,SUP-019,WH-007,2025-01-19,74,5188.88,standard,fulfilled
ORD-000022,DE-South,PRD-0022,SUP-018,WH-006,2025-11-05,21,7649.88,expedited,fulfilled
ORD-000023,DE-South,PRD-0147,SUP-018,WH-002,2025-10-25,278,82607.7,standard,fulfilled
ORD-000024,DE-East,PRD-0037,SUP-003,WH-002,2025-03-31,150,63030.0,standard,fulfilled
ORD-000025,DE-West,PRD-0038,SUP-018,WH-006,2025-06-07,320,23657.6,standard,fulfilled
ORD-000026,DE-South,PRD-0061,SUP-003,WH-008,2025-07-18,105,17442.6,expedited,fulfilled
ORD-000027,DE-North,PRD-0165,SUP-009,WH-007,2025-01-18,214,45609.82,expedited,fulfilled
ORD-000028,DE-South,PRD-0130,SUP-018,WH-002,2025-06-30,145,16037.0,expedited,fulfilled
ORD-000029,DE-South,PRD-0052,SUP-023,WH-005,2025-02-26,274,33600.62,standard,fulfilled
ORD-000030,DE-Central,PRD-0176,SUP-012,WH-006,2025-05-25,222,8098.56,standard,fulfilled
ORD-000031,DE-East,PRD-0119,SUP-018,WH-004,2025-03-28,928,9112.96,standard,fulfilled
ORD-000032,DE-South,PRD-0058,SUP-014,WH-004,2025-05-17,263,13649.7,standard,fulfilled
ORD-000033,DE-West,PRD-0008,SUP-016,WH-005,2025-05-15,250,15207.5,expedited,fulfilled
ORD-000034,DE-Central,PRD-0099,SUP-013,WH-007,2025-11-02,29,7557.11,standard,open
ORD-000035,DE-West,PRD-0065,SUP-001,WH-007,2025-12-10,1195,220847.95,standard,fulfilled
ORD-000036,DE-West,PRD-0067,SUP-022,WH-002,2025-06-10,75,15057.0,standard,fulfilled
ORD-000037,DE-East,PRD-0043,SUP-002,WH-006,2025-12-03,117,43734.6,standard,fulfilled
ORD-000038,DE-Central,PRD-0092,SUP-013,WH-008,2025-03-17,57,19573.23,standard,fulfilled
ORD-000039,DE-North,PRD-0147,SUP-018,WH-003,2025-12-13,178,52892.7,standard,fulfilled
ORD-000040,DE-Central,PRD-0117,SUP-024,WH-005,2025-11-01,188,16735.76,critical,open
ORD-000041,DE-East,PRD-0013,SUP-001,WH-005,2025-11-05,224,59637.76,standard,fulfilled
ORD-000042,DE-Central,PRD-0166,SUP-011,WH-003,2025-03-03,430,126269.5,standard,fulfilled
ORD-000043,DE-Central,PRD-0115,SUP-015,WH-007,2025-09-01,327,52509.66,standard,fulfilled
ORD-000044,DE-East,PRD-0174,SUP-019,WH-004,2025-11-28,99,22345.29,expedited,fulfilled
ORD-000045,DE-North,PRD-0033,SUP-023,WH-005,2025-10-10,33,3125.1,standard,fulfilled
ORD-000046,DE-West,PRD-0170,SUP-010,WH-008,2025-07-21,111,8633.58,expedited,fulfilled
ORD-000047,DE-Central,PRD-0048,SUP-008,WH-002,2025-11-06,32,3113.6,standard,fulfilled
ORD-000048,DE-South,PRD-0159,SUP-011,WH-006,2025-12-20,212,43843.72,expedited,open
ORD-000049,DE-East,PRD-0167,SUP-016,WH-004,2025-10-03,164,46472.68,expedited,fulfilled
ORD-000050,DE-Central,PRD-0150,SUP-015,WH-004,2025-04-14,444,185463.24,expedited,fulfilled
ORD-000051,DE-East,PRD-0125,SUP-019,WH-007,2025-09-07,20,1402.4,standard,fulfilled
ORD-000052,DE-East,PRD-0160,SUP-014,WH-006,2025-01-11,443,47750.97,standard,fulfilled
ORD-000053,DE-Central,PRD-0100,SUP-021,WH-007,2025-12-11,787,210813.69,expedited,fulfilled
ORD-000054,DE-Central,PRD-0107,SUP-015,WH-008,2025-06-05,295,33155.05,standard,fulfilled
ORD-000055,DE-Central,PRD-0087,SUP-013,WH-007,2025-09-07,184,55595.6,expedited,fulfilled
ORD-000056,DE-East,PRD-0113,SUP-008,WH-008,2025-11-09,62,11412.34,expedited,fulfilled
ORD-000057,DE-Central,PRD-0040,SUP-004,WH-006,2025-01-04,126,15319.08,standard,fulfilled
ORD-000058,DE-North,PRD-0036,SUP-007,WH-007,2025-08-15,15,543.15,standard,fulfilled
ORD-000059,DE-East,PRD-0015,SUP-016,WH-005,2025-12-15,82,10482.88,expedited,fulfilled
ORD-000060,DE-South,PRD-0160,SUP-014,WH-008,2025-12-24,878,94639.62,expedited,fulfilled
ORD-000061,DE-East,PRD-0024,SUP-013,WH-005,2025-09-24,335,73174.05,standard,fulfilled
ORD-000062,DE-Central,PRD-0096,SUP-016,WH-005,2025-11-18,83,9130.83,standard,fulfilled
ORD-000063,DE-South,PRD-0077,SUP-018,WH-005,2025-12-08,386,144499.1,standard,fulfilled
ORD-000064,DE-Central,PRD-0026,SUP-024,WH-003,2025-12-31,220,42321.4,standard,fulfilled
ORD-000065,DE-East,PRD-0150,SUP-015,WH-008,2025-11-22,245,102338.95,standard,fulfilled
ORD-000066,DE-North,PRD-0136,SUP-015,WH-002,2025-12-22,252,50294.16,standard,fulfilled
ORD-000067,DE-North,PRD-0075,SUP-008,WH-001,2025-09-25,210,5443.2,standard,fulfilled
ORD-000068,DE-East,PRD-0056,SUP-013,WH-003,2025-09-08,290,84076.8,standard,fulfilled
ORD-000069,DE-South,PRD-0034,SUP-022,WH-003,2025-06-16,888,160035.36,standard,fulfilled
ORD-000070,DE-Central,PRD-0162,SUP-005,WH-005,2025-10-15,1195,518976.55,standard,fulfilled
ORD-000071,DE-East,PRD-0169,SUP-004,WH-003,2025-01-10,471,92914.17,standard,fulfilled
ORD-000072,DE-West,PRD-0112,SUP-001,WH-003,2025-08-01,280,57010.8,standard,fulfilled
ORD-000073,DE-East,PRD-0079,SUP-009,WH-007,2025-12-14,324,91802.16,critical,fulfilled
ORD-000074,DE-East,PRD-0052,SUP-023,WH-004,2025-11-02,262,32129.06,standard,fulfilled
ORD-000075,DE-Central,PRD-0069,SUP-008,WH-002,2025-11-30,165,7458.0,standard,fulfilled
ORD-000076,DE-West,PRD-0138,SUP-002,WH-007,2025-10-12,10,394.2,expedited,fulfilled
ORD-000077,DE-Central,PRD-0090,SUP-015,WH-004,2025-10-27,77,4934.93,standard,fulfilled
ORD-000078,DE-North,PRD-0054,SUP-008,WH-006,2025-11-22,241,33684.57,standard,fulfilled
ORD-000079,DE-East,PRD-0003,SUP-004,WH-003,2025-12-23,211,48567.98,standard,fulfilled
ORD-000080,DE-Central,PRD-0046,SUP-019,WH-001,2025-12-30,234,88019.1,expedited,fulfilled
ORD-000081,DE-North,PRD-0051,SUP-011,WH-007,2025-10-19,48,15954.24,standard,fulfilled
ORD-000082,DE-North,PRD-0146,SUP-011,WH-004,2025-05-21,21,3022.53,critical,fulfilled
ORD-000083,DE-South,PRD-0105,SUP-018,WH-005,2025-08-27,284,79094.0,expedited,fulfilled
ORD-000084,DE-West,PRD-0147,SUP-018,WH-001,2025-05-08,178,52892.7,standard,fulfilled
ORD-000085,DE-North,PRD-0028,SUP-002,WH-008,2025-11-14,68,22947.96,standard,fulfilled
ORD-000086,DE-Central,PRD-0114,SUP-017,WH-001,2025-08-10,366,78620.46,standard,fulfilled
ORD-000087,DE-Central,PRD-0099,SUP-013,WH-008,2025-11-14,11,2866.49,standard,fulfilled
ORD-000088,DE-Central,PRD-0066,SUP-019,WH-006,2025-11-14,134,26190.3,standard,fulfilled
ORD-000089,DE-Central,PRD-0121,SUP-001,WH-005,2025-11-05,805,39694.55,critical,fulfilled
ORD-000090,DE-West,PRD-0089,SUP-022,WH-004,2025-06-24,126,33740.28,standard,fulfilled
ORD-000091,DE-West,PRD-0042,SUP-009,WH-002,2025-12-21,486,111376.62,standard,fulfilled
ORD-000092,DE-South,PRD-0092,SUP-013,WH-001,2025-10-12,158,54255.62,standard,fulfilled
ORD-000093,DE-West,PRD-0087,SUP-013,WH-004,2025-04-02,100,30215.0,expedited,fulfilled
ORD-000094,DE-South,PRD-0117,SUP-024,WH-004,2025-12-05,289,25726.78,critical,fulfilled
ORD-000095,DE-South,PRD-0137,SUP-017,WH-007,2025-12-22,316,134110.4,standard,fulfilled
ORD-000096,DE-Central,PRD-0014,SUP-002,WH-005,2025-10-27,58,1948.22,expedited,fulfilled
ORD-000097,DE-Central,PRD-0133,SUP-008,WH-008,2025-04-02,201,7091.28,standard,fulfilled
ORD-000098,DE-North,PRD-0057,SUP-004,WH-004,2025-07-22,237,100220.19,expedited,fulfilled
ORD-000099,DE-South,PRD-0133,SUP-008,WH-006,2025-08-27,182,6420.96,standard,fulfilled
ORD-000100,DE-West,PRD-0068,SUP-024,WH-002,2025-04-27,56,20042.4,standard,fulfilled
